梅西在长达二十年的时间里为球迷们奉献着顶级的足球表演。他在拥有卓越球技的同时，也是一个真诚的朋友，一个优秀的丈夫和父亲，一个职业球员的模范。他是足球世界的最好名片，他鼓励一代代年轻人磨练球技、强身健体、追求荣誉，同时也指引着大家牢记保持善良的品德，做一个纯粹的好人🇨🇳🇦🇷 
梅西北京行本人在现场，工体40度高温梅西主动踢满全场并且带队谢场，有的人说梅西北京行踢全场是因为有积分，但是上半场就已经拿下比赛了梅西为什么还要踢下半场?带队谢场.也有积分吗?要知道北京是除阿根廷之外梅西第.-个带队谢场的地方。
真的很心疼你！我们永远爱你！也感谢你带来的每一场精彩的比赛！ 
所有的邪恶中，谣言散播最快。随着速度的加快更加激烈，随着散播面的扩展更有精力。——维吉尔 谣言止于智者
一直相信你 爱你 之前很多报道不实 希望大家可以看到事实真相 
队内最有名的球员必须注意表情管理，唇角不得放平或挂下，建议大于等于“微笑唇”的弧度，若被现场摄像头捕捉到一帧面无表情或不笑状态的画面，视为“全程黑脸”“冷漠”“傲慢无礼”“不尊重”“侮辱”“歧视”。 
评论骂梅西的全部反弹
你的经历 你的为人 你的善举 你的荣誉 球迷们一路见证。我们永远是你忠实的球迷 这一点 不是流言蜚语与恶意抹黑能够攻破的。期待下次相见！ 
说实话有点心疼，本不需要澄清什么
宝贝
真正的球迷永远欢迎你
UEFA 推行Respect已经16年，常年在欧洲踢球的梅西肯定很清楚，但是梅西在香港有没有做到尊重主办方，香港官方和球迷，大众心理看的清清楚楚，尤其和日本行的强烈对比，他洗不白！！！哟西你休想再来中国 ⭕️💰！ 
相信你的不需要听这个解释，不相信你的它们永远也不会听。清者自清
你值得这个世界上最美好最纯粹的爱意，你是我寻到的宝藏。可能你不知道你在追求梦想的道路上所表现出来的一切对我们有多么重要，但是你的圆满成全了我们所有人。谢谢你带来的魔法，谢谢你的纯粹，谢谢我可以爱你。  谢谢你，leo，给你一个大大的、充满我所有爱意的拥抱。
我们的队长！！！ 
有幸见你一面，愿你永远快乐踢球❤️ 
他只是想踢球！一直是纯粹的小梅(¯―¯٥)乱戴帽子的省省吧
做错了什么需要道歉？给你真相都不重要啦？
一直相信，永远相信！
梅西不是道歉，他也不需要道歉，没有违反合同没有zz立场，他只是对爱他的球迷做出了回应！
一场商业赛，是人是鬼都在秀。挺好的，让子弹继续飞。看看潮水落去之后谁是人谁是鬼。
为什么插兜，你为什么插兜，抛开事实不谈，你觉得你插兜尊重别人吗 
那么主办方什么时候道歉？
我哭了你不需要道歉啊
梅西并不是道歉，他没有违反合同没有zz立场，他只是对爱他的球迷做出了回应！
之前确实被带节奏了，看了梅西十几年比赛，确实是一个真诚和纯粹的运动员
啊啊啊龙年大吉
问心无愧！
由头到尾都没有说对不起
诚意满满的梅西！！ 
和你在一起 
每次在现场看到你都很开心 
这本来就是一场黑子的狂欢和政客的甩锅
真的够了 很没有必要为了这破事再三回应为了球迷一切都是为了球迷反正梅西已经仁至义尽尽善尽美了 从头到尾他作为球员的所作所为都无可指摘#梅西# 
一个大大的拥抱
时隔多天再看，仍然觉得荒谬。网络放大了群氓效应。希望能让政治回归政治，让体育回归体育，让理性回到每一个人心中。我还是支持梅西。
水军控评，作为公关事件已经错过了最佳回应时间，也是由于自身傲慢想看中国球迷的反应
看好了这是梅西本人的澄清视频！#梅西回应# 
什么时候为 给反贼寄签名照亲笔信 道歉？？
天呀，不是让霍启刚道歉吗？怎么自己来了
宝宝，你快乐就好
615诚意满满！！！！ 
 
leo谢谢你的回应，一个足球运动员竟然被卷入了这么多争议之中，只希望你能够快乐踢球，新赛季加油给你一个大大的拥抱
虽然没拍下半身，但我相信我梅依然是在插兜。他就是爱插兜啊！领世足的时候插兜，金球奖的时候插兜，见萨尔瓦多总统的时候插兜，见沙特大臣的时候也插兜，这就是他的个人爱好啊，不明白为啥大家非得说他插兜是不尊重
诚意无需质疑 
运动员不是神仙 感觉到不舒服还上场 那是对球迷 对俱乐部 对自己的不负责任！这场闹剧该结束了
永远支持梅西
给你一个大大的拥抱你真的太好了，这个声明本不用发的，我觉得好委屈你啊，就像psg那次的事一样，我知道你是为了中国的梅西球迷为了我们，你还是那样的温和善良爱你是我的幸运， 我们会一直陪伴你
球员因伤缺席友谊赛，亲口在发布会说过内收肌炎症，被长期推送的翻译却故意误翻为没有受伤。无论全球火药桶哪方都知道他不沾边，赛事大名单都没有上的球员要回应因伤缺席赛事领奖没有政治原因，被如此构陷，层层叠叠的谣言和P图，颠倒是非的细节，别低头，别和他们讲和。助我识人，助人识我。
宝宝我都懂我都懂给你一个大大的拥抱我们一直爱你
简中网民认为一个在巴塞罗那生活工作了二十年从未参与加泰zz的人，会突然被恶灵附体通过不上场比赛的方式来乳化，这到底是一种自我意识过剩还是自卑呢？#梅西# 
"所以事实就是这样。清者自清，也不想去解释什么了。感谢你，梅西，你永远是比我好得多的人。（虽然我真觉得不用解释什么的，很多人只是想要愤怒而已。）迟来的祝福，Leo, feliz 2024"
我们一直相信你，给你一个大大的拥抱，leo
一个自己国家zz都不参与的人 一次足球赛事常见的伤休 却被别有用心的人利用来玩弄舆论 但是没关系 喜欢梅西了解梅西的人知道他是什么样的人 我在北京拥过美好的回忆 期待在中国的下次见面
永远支持，爱你
一场商业赛，是人是鬼都在秀。挺好的，让子弹继续飞。看看潮水落去之后谁是人谁是鬼。 
给观众带来一次又一次的精彩瞬间，伟大的球员，给你大大的拥抱
给你大大的拥抱
永远支持你，不希望这件事被无限放大和扭曲。
相信你的人不必有多余的解释，堵起耳朵和眼睛的人也不用同他们说什么，这次是不是又要有人说是上海梅西了
北京615永远记得，爱你
我爱你。
永远相信你，新年快乐
给你一个大大的拥抱
我一直相信你
永远支持相信你，香港遗憾没看到，希望再来一次
leo不要管那些乱七八糟的，我们中国球迷都爱你，加油！美洲杯加油
感谢小梅的澄清，永远相信你支持你 
啊啊啊啊啊啊啊啊啊
永远爱你
"always trust u, always"
我只希望你以后能单纯的快乐的踢球，给你一个大大的拥抱。
相信你，最近被某群体造谣十分严重，清者自清！
不回应也不行回应了也不行到底要人干什么
四川梅西代替不了真梅西，别洗了，睡吧
爱你
果然是情况说明而非道歉，说他道歉预告是我的错，这波真是准时啊
Leo 永远相信你！
好人就改被拿枪指着？那些造谣煽动所谓爱国情绪的人，一定会有报应的！
坏人做了一件好事就要被夸，好人做了一件坏事就被骂，这世道是怎么了
希望不久的将来我们可以见面🙏🙏给你大大的拥抱Leo
保重身体，大大的拥抱
一直以来都相信你，更希望足球能够远离政治，兢兢业业二十多年没有出现任何问题，你值得所有人尊重，把足球还给足球，永远的GOAT
哟西真准时
支持你！
梅西刚刚发了视频，对香港行以来的问题进行了解释。他一直以来都说过没有zz立场，相信的依然相信，不信的依然不信，我们无法叫醒装睡的人，更不必叫醒! ​
永远爱你，不要在意无关的纷纷扰扰，你属于足球
大大的拥抱
算上发布会和文字回应已经回应三次。去年的北京阿根廷中国行还没过去一年，没看过几场球也没去过一次现场的所谓“球迷”，跟着造谣的媒体人云亦云。对多角度的视频图像无视更不多角度的看待问题，捆绑一位阿根廷人大谈特谈中日关系，甚至去ins去中伤攻击梅西家人，滑稽的同时又让人觉得可悲。
黄昏见证虔诚的信徒 巅峰诞生虚伪的拥护
给你一个大大的拥抱，其实呢我们本来就离的很远，如果不是去年北京行，可能这一生我都没法和你见一面，感谢21年的夏天我通过网络认识到了你，我爱你踢的足球，所以我依然会看你继续踢球，做你的球迷很幸运。最后我想说，你是我见过最纯粹的足球运动员，继续健健康康快快乐乐的踢球吧
希望不久 我们能再见
永远支持你
给你一个大大的拥抱
再澄清一次关于受伤的消息，梅西在发布会的西语原文是内收肌不适、核磁共振显示水肿，结果翻译过来莫名其妙就变成了“核磁共振检查没有受伤”。而内收肌发言的恢复期大多就是3-7天，很多人可能不看竞体所以对这个伤势没有概念，但已经有这么多人出来解释了还在这点上胡搅蛮缠就显得离谱了。
#梅西回应#  水肿翻译成没受伤，挥手微笑陪小孩训练都看不见，一句全程黑脸就概括，商业友谊赛无限拔高，合同避而不谈，赖子们通过网暴享受世界！
好奇评论区用“呦西”这个称呼叫梅西的人，你为什么如此喜欢模仿日本人说日语呢，你到底是在就事论事不忘历史还是在单纯的玩梗?
那些凭自己想法去揣测他的人麻烦看看他从出道开始踢球以来所作的事情，首先他是一个阿根廷人但是他从来不参与阿根廷国内政治，其次他在加泰生活了二十年也从未参与过任何一关政治立场的活动及话题，他一直坚持没有任何政治立场，为什么有的人愿意相信谣言都不愿意相信他说的话
老钟人还是挺容易被蛊惑的…霍公子一带就跑了
在认识流言蜚语之前，我就认识了莱昂内尔·梅西。   舆论和炒作从来不曾杀死他，时间会淹没此般蝇营狗苟。
泱泱大国 所谓的体育强国竟这么多人不懂受伤什么意思伤病有不同情况级别什么含义😅 
这tm又不是道歉 本身又没有错 道什么歉啊🤣，这是解释给一味上升到zz层面别有用心的人看的 看不懂 无脑输出的也没有办法 好多只要蹭流量跟风带节奏的人yxh发的东西自己可能都毫不知情 没有求证过的 造谣的东西 甚至大多数发的人连一场球也没看过 你只要流量而已凑个热闹  
@采花菇凉 为什么要这么一个好人来做这些我真的服了
我相信我的梅西！最最纯真的足球运动员！！！他对足球是最纯粹的爱！
梅西为什么要道歉？他没有做错任何事，他发视频的目的只是澄清。欲加之罪何患无辞，根本不用理傻吊罗结晶的言论。
支持梅西！我就是支持梅西！最爱梅西！！！！！
爬远点
梅西的人品有目共睹，比赛前受伤也不是他所希望的，我永远支持小梅，那些上纲上线的人适可而止吧，给一个南美人扣各种帽子什么意思，梅西没有出场就这么让你们的自尊心受挫吗，伤病对一个球员来说本就是不可避免的，如果这都能强行扯到ZZ立场那真是有够可笑的
四川梅西转战上海梅西
莫须有的zz舆论，这个世界就是这样，但无论怎么样，你是我心目中永远的球王
感觉评论区每天都在轻轻气死几个，想到这个就笑得停不下来……
我唯一喜欢的足球运动员 
#梅西回应# 球技和成绩一直都是梅西最不值一提的东西
而你又是用什么赛博虚空眼看到《道歉》了呢//@风浴河岸柳: 你是怪盗吗？道歉还有提前预告？水军准备！
人，之所以称之为人，是因为被赋予了思考和认知世界的能力。将事实真相弃之不顾，利用民族情绪来盲目的获取自我肯定和所谓的个人价值，直至引起轩然大波，这是人性的悲剧与偏见。 希望人为的悲剧会随着我们对人性了解的增多而规范的“宽容”。 
上海梅西
这种莫须有的罪名安在身上还要出来澄清……Leo你真的
一直不太相信一个一直如此温和纯粹的人会突然做出他们口中的那种事。了解梅西了解赛场真实情况以后，看过了各种断章取义和恶意翻译，希望这一切确实是我所了解的那样，我仍保持相信，希望真相能被了解和尊重。给你一个大大的拥抱
不管怎么样  因为这件事情而上升到亲日反华的zz立场层面就很离谱 
老实人就应该被欺负吗？有些人真的是坏透了，坏到骨子里
根本没必要和那些一口一个“哟西”的人解释什么，真正的球迷都是一直支持你的，给你一个大大的拥抱
了解你的人永远不会怀疑你的人品 因为你始终还是那个专注于球场和热爱生活家庭的人。这也是我一直喜欢你的原因。
真相不会湮灭，公道自在人心！支持梅西⚽️支持阿根廷🇦🇷
我一直认为像Leo这样纯粹的足球运动员，他所背负的除了来自自己与队伍的输赢压力外，不该再另外背负任何舆论压力
真希望你能快快樂樂的踢球⚽️
支持梅西 
胡子确实是一个疑点，还有就是眼睛眨眼的频率有点高，睁眼时眼皮收缩的有点慢像ai，但是身上的影子跟随又比较合理，有没有懂哥说一下ai模拟影子是不是有这个水平
人上不上场不是重点，当天的态度为何如此？
@霍启刚 该更新小作文了霍哥 
图片评论 
造谣的好好看看 
支持
老梅，视频虽然有点迟，但是还是希望你能健康！长点心吧真的，别再被人利用了，从2006年就在看你和阿根廷的球了，这次风波真的太大了，希望以后在中国见到你！！加油
阿根廷北京那场我在，近40度的天气，我坐着都嫌热，人家踢满了全场，而且据说那场合同只签了45分钟，赛后又领着全队一起致谢又在ins上发说感谢中国球迷，我是怎么也想不明白怎么就一个商业行为还扣上了帽子退一万步讲，就算是他签合同没上场，那也只是商业行为和人品问题，大可不必扣帽子
真诚的好人应得美好的一切大大的拥抱给你
不是，想来中国挣钱直说
相信的人始终相信，不相信的人挖空心思也要黑你，希望这个事情对你来说就到此为止了，不要再有更多消耗了，你已经做了能做的一切。
这件事情能闹到这个程度本身就是非常荒谬的
永远爱
给你一个大大的拥抱
"Don’t worry,be happy!"
要玩梗就去玩 没人管你们 评论区的“哟西”怎么 你是🇯🇵人吧 真的搞笑呐
利昂内尔，没有必要澄清，更不需要道歉。 懂你的人都懂，无须如此。 抹黑、造谣你的都是政治、金钱、流量的奴隶，以及阿伟罗豢养的狗，无须在意。 踢出最好的足球，就是你对真球迷最好的爱。
❤️❤️❤️❤️❤️
我们爱你
妹妹你真的我哭亖我把你们都砂了
会再见面的
小梅我只想给你一个大大的拥抱！
希望网友都有能够辨别信息真伪的能力 不被舆论裹挟
永远支持你我的球王👑👑
希望你能健康，享受足球带给你的快乐，这是我从一开始支持你就说的，我也永远都这么希望着
下次见！永远爱你！！！！
宝宝 给你个大大大拥抱
永远支持你
永远支持你！
永远爱你
懂你的人自然懂你，我们懂你就好，小梅，新赛季加油
善良的球王你明明没有做错什么还要发个视频可见球王是多么喜欢中国 我哭死
 开始控评洗白了  笑死我了
又反转了
永远爱你
龙年快乐
capi 永远都是最好的，爱你爱你爱你
天呐，梅西道歉了，国内的阿根廷球迷们要难受死了，这可比要他们父母命还痛苦呢
从未怀疑过
说明情况就好，不用道没必要的歉，不违反合同，没有政治立场，足矣。
不用解释。以后不来就完了，我们中国这地儿挺好，就是人太恶毒。祝你一切都好。
这件事情发展就很魔幻，我觉得在球星中梅西的人品没话说，各方面的好，性子也温和，可能他的回应有人会觉得是还想赚中国的钱吧，但窝觉得很真诚
支持梅西，你是真正的球王。
都说了梅西不是被政治左右的人 
国家面前无偶像！支持香港！支持霍启刚！不要再让老外们圈钱了
支持球王  相信真相迟早会水落石出
他只是回应爱他的球迷
支持梅西！不要被舆论干扰！现在的互联网简直就是吃人的妖怪！
话不多说，上图 
我说有些人…按头咱们这些大活人球迷是买的水军也就算了，怎么还说大家是脚球楠，给人性别都改了呢 连点开头像看看的能力都没有，直接遵循自己的刻板印象，还是别独立思考了吧
作为去了香港的现场球迷，我永远会支持梅西。他一直以来就是最好的，永远都是，不是你们能够随意诋毁的
虽然知道想黑他的人会找任何理由来黑 但转发是种态度
一直以来都相信你 最纯粹的人
永远支持梅西
但凡是梅西真球迷就知道他是怎么样的人  恶意中伤别有心机的人也改变不了梅西的品格。请大家多看看正确渠道的消息 不要再轻信流言！
给你一个大大的拥抱
""
图片评论 
清者自清，希望大家多听听各方的发声，而不是只愿意被牵着鼻子走
想了解关于主办方、俱乐部到底是怎么沟通的，是否存在施压或欺诈等等信息，但是没有听到
此心光明，亦复何言。
清者自清，浊者自浊
相信球王人品 拒绝抹黑外交关系
我永远爱你😘，球王，陪伴我整个青春的人
凡是有思维能力的都清楚这就是一件最普通不过的商业比赛合同纠纷，被别有用心的人带节奏演变为网暴事件，损害了香港的国际形象，进而影响到内地，这和我国一直遵循全球命运共同体的大战略是背道而驰的，希望国家相关部门能出手整治网络环境，还网络一片净土！
梅梅真诚是最好的必杀技 但在这里不是 只想让你知道有很多人爱你 不在于你在哪里上场 不要再被任何人 任何事绑架了 爱你
“别听说，去证实。”人世有时比戏文荒谬。
嗯嗯非要给世界都知道没有zzlc的人扣上帽子，还一副沾沾自喜的样子
给梅梅一个大大的拥抱
作为梅蜜，永远爱你和支持你！你真的太好了🥹宝宝
不了解真相的不需要你们去了解 因为你们只要蹭流量就行  但你没资格对他说出那么多侮辱的话语  他没有对不起任何人 他只是这次让他的球迷失望了 不要把那些莫须有的话题压在他身上
梅西的视频来了梅西超话 
香港行至今，现在攻击西西变成了一种政治正确，某些人对生活无力掌控从而把注意力转接到梅西事件上（或者最近的农夫山泉）疯狂开喷以求发泄。然后没有和球队签署梅西必须上场合同的主办方悄悄逃过一劫并且开起了香槟还不忘说一句“阿根廷佬就是好耍”wqnmd
宝宝晚安给你一个大大的拥抱
""
""
永远相信你！！！霍家因为你没有帮他们站台就写小作文他们欠你一个道歉！！！去年你可是在中国踢满了整场友谊赛的！！！！！
""
[锦鲤附体][锦鲤附体][锦鲤附体]
要爱自己 其次爱一个本身就好的人 很庆幸 我都做到了
永远相信
[锦鲤附体][锦鲤附体][锦鲤附体][锦鲤附体]
""
比赛加油，要健康哦
""
宝宝我很想你。
大大的拥抱
评论区怎么这么多水军啊我的天🤦怕不是隔壁小日子买来的吧
我相信你
[锦鲤附体]
永远的球王
1
加油
鬼才信你，你就是金钱的奴隶
宝宝
""
加油加油
澄清鬼啊澄清，滚吧梅西，他是做啥的来着？？？我都忘了→_→→_→→_→
""
里奥呦西
快滚
#梅西获得第八座金球奖##梅西 第八座金球奖##梅西捧起大力神杯##梅西生来为了阿根廷的冠军##梅西把问路的孩子带到山顶##梅西一条龙##梅西过人好牛##梅西任意球绝杀##梅西帽子戏法##梅西蝉联世界足球先生##梅西当选fifa年度最佳球员##梅西当选2023年劳伦斯最佳男运动员奖##梅西任意球绝杀##梅西加油#.
#梅西获得第八座金球奖##梅西 第八座金球奖##梅西捧起大力神杯##梅西生来为了阿根廷的冠军##梅西把问路的孩子带到山顶##梅西一条龙##梅西过人好牛##梅西任意球绝杀##梅西帽子戏法##梅西蝉联世界足球先生##梅西当选fifa年度最佳球员##梅西当选2023年劳伦斯最佳男运动员奖##梅西任意球绝杀##梅西加油#
""
"#梅西获得第八座金球奖##梅西 第八座金球奖##梅西捧起大力神杯##梅西生来为了阿根廷的冠军##梅西把问路的孩子带到山顶##梅西一条龙##梅西过人好牛##梅西任意球绝杀##梅西帽子戏法##梅西蝉联世界足球先生##梅西当选fifa年度最佳球员##梅西当选2023年劳伦斯最佳男运动员奖##梅西任意球绝杀##梅西加油#,"
#梅西获得第八座金球奖##梅西 第八座金球奖##梅西捧起大力神杯##梅西生来为了阿根廷的冠军##梅西把问路的孩子带到山顶##梅西一条龙##梅西过人好牛##梅西任意球绝杀##梅西帽子戏法##梅西蝉联世界足球先生##梅西当选fifa年度最佳球员##梅西当选2023年劳伦斯最佳男运动员奖##梅西任意球绝杀##梅西加油#.
#梅西获得第八座金球奖##梅西 第八座金球奖##梅西捧起大力神杯##梅西生来为了阿根廷的冠军##梅西把问路的孩子带到山顶##梅西一条龙##梅西过人好牛##梅西任意球绝杀##梅西帽子戏法##梅西蝉联世界足球先生##梅西当选fifa年度最佳球员##梅西当选2023年劳伦斯最佳男运动员奖##梅西任意球绝杀##梅西加油#
吆西吆西
呦西  滚
哟西，锁得四内
喜欢呦西的全价爆必
